City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,175,Black Forest,US,39.0131,-104.7008,76.69,18.00%,1.00%,5.01,clear sky
178,178,Belmonte,BR,-15.8631,-38.8828,79.3,81.00%,24.00%,11.25,few clouds
185,185,Greeneville,US,36.1632,-82.831,79.92,66.00%,75.00%,4.61,broken clouds
187,187,Poum,NC,-20.2333,164.0167,75.54,77.00%,0.00%,9.17,clear sky
196,196,North Platte,US,41.1239,-100.7654,82.99,25.00%,1.00%,3.0,clear sky
201,201,Sulphur Springs,US,33.1385,-95.6011,88.21,21.00%,1.00%,9.22,clear sky
207,207,Praia,CV,14.9215,-23.5087,81.14,83.00%,20.00%,12.66,few clouds
210,210,Pitimbu,BR,-7.4706,-34.8086,81.19,75.00%,7.00%,11.59,clear sky
213,213,Koumac,NC,-20.5667,164.2833,77.95,67.00%,0.00%,1.66,clear sky
214,214,Hithadhoo,MV,-0.6,73.0833,83.52,75.00%,10.00%,19.91,clear sky
215,215,Yulin,CN,22.6333,110.15,75.92,77.00%,2.00%,2.86,light rain
216,216,Catamarca,AR,-28.4696,-65.7852,76.77,28.00%,0.00%,8.01,clear sky
217,217,Tautira,PF,-17.7333,-149.15,82.42,75.00%,12.00%,16.69,light rain
220,220,Jhansi,IN,25.4333,78.5833,83.43,69.00%,93.00%,4.03,overcast clouds
221,221,Englewood,US,39.6478,-104.9878,83.77,18.00%,20.00%,3.0,few clouds
222,222,Beatrice,US,40.2681,-96.747,86.18,24.00%,1.00%,9.22,clear sky
232,232,Labuhan,ID,-6.8844,112.2051,76.69,79.00%,86.00%,12.21,overcast clouds
234,234,Khorramshahr,IR,30.4397,48.1664,82.36,30.00%,0.00%,4.61,clear sky
235,235,Marovoay,MG,-16.1,46.6333,78.94,67.00%,97.00%,3.94,light rain
237,237,Hamilton,US,39.1834,-84.5333,77.02,88.00%,20.00%,9.22,light rain
239,239,Mersing,MY,2.4312,103.8405,75.11,94.00%,100.00%,5.75,overcast clouds
242,242,Nouadhibou,MR,20.931,-17.0347,76.98,61.00%,0.00%,16.11,clear sky
243,243,Greensboro,US,36.0726,-79.792,80.55,79.00%,75.00%,1.99,broken clouds
246,246,Bandarbeyla,SO,9.4942,50.8122,78.66,83.00%,38.00%,20.04,scattered clouds
247,247,Sorong,ID,-0.8833,131.25,79.05,78.00%,98.00%,11.68,overcast clouds
248,248,Wilmington,US,34.2257,-77.9447,83.91,69.00%,1.00%,9.22,clear sky
250,250,Lac Du Bonnet,CA,50.2536,-96.0612,78.58,23.00%,80.00%,3.13,broken clouds
253,253,Shenjiamen,CN,29.9576,122.298,75.9,72.00%,0.00%,10.56,clear sky
258,258,Sabha,LY,27.0377,14.4283,80.04,27.00%,0.00%,7.83,clear sky
260,260,Katsuura,JP,35.1333,140.3,75.18,75.00%,2.00%,11.14,clear sky
